;ff;ff;ff;ff;precip;precip;precip;precip;hu;hu;hu;hu;t;t;t;t
;min;mean;max;sum;min;mean;max;sum;min;mean;max;sum;min;mean;max;sum
datetime;;;;;;;;;;;;;;;;
2016-01-01;0.0;6.672689165950128;25.2;62082.7;0.0;0.016023209105110466;2.1;143.6;68.0;88.9796943231441;100.0;815054.0;272.95;281.7634399491633;286.95;2660410.4
2016-01-02;0.0;9.081778992745242;23.6;86376.8;0.0;0.03490819284870611;1.1;325.1;58.0;81.3606946391975;100.0;754295.0;276.75;282.27504358527335;285.85;2752463.95
2016-01-03;0.0;6.78711148827835;21.5;63982.1;0.0;0.08481761419651661;2.9;774.3000000000001;64.0;88.0420410427066;100.0;793699.0;277.75;282.32469194312796;286.25;2680672.95
2016-01-04;0.0;7.008276153277736;19.0;66389.4;0.0;0.025510869565217392;2.0;234.70000000000002;58.0;81.66356795042054;100.0;737912.0;277.65;281.4259693180624;285.45;2678330.95
2016-01-05;0.0;6.294019722192768;18.9;59358.9;0.0;0.033864936207655086;2.3;307.90000000000003;68.0;87.44637744990091;100.0;794188.0;277.55;281.307730125523;285.25;2689301.9
2016-01-06;0.0;5.2052806341045414;20.0;48596.5;0.0;0.06215323645970938;1.6;564.6;64.0;86.89591814280999;100.0;789797.0;276.25;281.7002455847006;286.25;2695589.65
2016-01-07;0.0;6.299912844536442;21.3;57826.9;0.0;0.029571984435797668;2.1;273.6;52.0;80.01824777399142;100.0;727926.0;274.95;281.81898496240603;286.65;2698698.6
2016-01-08;0.0;3.306574543884271;12.8;30628.8;0.0;0.010766267123287673;1.0;100.60000000000001;14.0;89.05466520307354;100.0;811288.0;274.25;281.0994786235662;286.35;2695744.0
2016-01-09;0.0;6.911613389301475;22.4;64215.8;0.0;0.052819023025607925;4.6;490.90000000000003;56.0;85.8326706428098;100.0;777129.0;275.35;281.96028949024543;286.25;2688209.4
2016-01-10;0.0;5.073520915801861;18.6;47422.2;0.0;0.02498395035309223;2.5;233.5;53.0;81.87438234325245;100.0;745630.0;274.95;280.5123448419735;285.85;2689271.85
2016-01-11;0.7;7.695922769927731;24.4;71348.9;0.0;0.04398447606727038;2.4;408.0;61.0;83.26032097399003;100.0;752257.0;277.05;280.6624868614673;284.75;2670222.9
2016-01-12;0.6;6.9353318371272845;19.9;64893.9;0.0;0.012554760123944866;1.6;117.5;52.0;74.68296962386226;100.0;681034.0;275.05;279.9575424523388;284.15;2687312.45
2016-01-13;0.0;3.2994056624162527;14.3;30532.7;0.0;0.009802439814315016;1.6;90.8;55.0;84.47886386330856;100.0;761408.0;271.75;278.5582587169493;283.75;2644353.55
2016-01-14;0.0;4.386752136752137;16.1;41060.0;0.0;0.010395299145299144;1.5;97.3;50.0;81.86951754385964;100.0;746650.0;271.75;278.6630416666667;283.55;2675165.2
