datetime;consommation;thermique;nucleaire;eolien;solaire;hydraulique;pompage;bioenergies;ech_physiques
2014-01-01;133074.0;3702.0;0.0;26541.0;40.0;4978.0;-283.0;1503.0;96590.0
2014-01-02;144490.0;4031.0;0.0;18435.0;394.0;4968.0;-52.0;1430.0;115290.0
2014-01-03;146521.0;4091.0;0.0;25486.0;421.0;4750.0;-52.0;1446.0;110378.0
2014-01-04;142139.0;4032.0;0.0;17754.0;134.0;5338.0;-86.0;1455.0;113525.0
2014-01-05;138288.0;4064.0;0.0;19678.0;85.0;4786.0;-151.0;1403.0;108427.0
2014-01-06;148344.0;4036.0;0.0;28991.0;271.0;4885.0;-63.0;1418.0;108823.0
2014-01-07;152125.0;4084.0;0.0;22604.0;346.0;3460.0;-184.0;1233.0;120594.0
2014-01-08;153247.0;4005.0;0.0;12025.0;210.0;2988.0;-287.0;1107.0;133198.0
2014-01-09;153173.0;4023.0;0.0;12787.0;281.0;2365.0;-307.0;1350.0;132674.0
2014-01-10;163594.0;4086.0;0.0;2333.0;365.0;2086.0;-314.0;1473.0;153557.0
2014-01-11;140024.0;4095.0;0.0;2159.0;484.0;2381.0;-527.0;1549.0;129874.0
2014-01-12;134604.0;3959.0;0.0;15371.0;134.0;2583.0;-519.0;1508.0;111559.0
2014-01-13;158651.0;3887.0;0.0;12333.0;429.0;2835.0;-483.0;1467.0;138195.0
2014-01-14;168813.0;3899.0;0.0;6004.0;585.0;3502.0;-466.0;1487.0;153798.0
2014-01-15;159702.0;3927.0;0.0;19574.0;130.0;3896.0;-378.0;1674.0;130894.0
2014-01-16;159711.0;3903.0;0.0;20846.0;351.0;4195.0;-324.0;1659.0;129081.0
2014-01-17;161089.0;4061.0;0.0;11194.0;195.0;4497.0;-302.0;1651.0;139807.0
2014-01-18;142399.0;3884.0;0.0;10982.0;233.0;4662.0;-332.0;1588.0;121378.0
2014-01-19;140078.0;3901.0;0.0;1013.0;648.0;4777.0;-347.0;1569.0;128513.0
2014-01-20;170819.0;3969.0;0.0;2765.0;511.0;4440.0;-305.0;1504.0;157934.0
2014-01-21;173344.0;4207.0;0.0;10655.0;319.0;4286.0;-330.0;1406.0;152811.0
2014-01-22;156217.0;4012.0;0.0;5067.0;500.0;4003.0;-407.0;1516.0;141530.0
2014-01-23;170492.0;4088.0;0.0;9855.0;224.0;3637.0;-463.0;1531.0;151616.0
2014-01-24;160232.0;4044.0;0.0;10060.0;84.0;3140.0;-463.0;1580.0;141785.0
2014-01-25;130166.0;4138.0;0.0;9632.0;664.0;2585.0;-520.0;1630.0;112036.0
2014-01-26;131760.0;4133.0;0.0;19548.0;110.0;2433.0;-509.0;1614.0;104428.0
2014-01-27;166297.0;3992.0;0.0;16338.0;590.0;2625.0;-429.0;1499.0;141687.0
2014-01-28;172624.0;4195.0;0.0;9078.0;307.0;2916.0;-239.0;1463.0;154907.0
2014-01-29;173329.0;3947.0;0.0;3260.0;451.0;3544.0;-154.0;1451.0;160834.0
2014-01-30;166849.0;4651.0;0.0;1402.0;440.0;3969.0;-50.0;1453.0;154987.0
2014-01-31;177475.0;4069.0;0.0;16549.0;140.0;4282.0;-47.0;1472.0;151006.0
2014-02-01;147960.0;4122.0;0.0;18067.0;726.0;4608.0;-47.0;1577.0;118900.0
2014-02-02;141643.0;4114.0;0.0;9120.0;757.0;4764.0;-51.0;1648.0;121285.0
2014-02-03;162656.0;4053.0;0.0;18144.0;283.0;4686.0;-48.0;1580.0;133965.0
